Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J13","473521001","microSD_HC_Molex_47352-1001",95.098679,-80.693174,180.000000,bottom
"C1","100nF","C_0402_1005Metric",90.308679,-88.283174,0.000000,top
"C2","10uF","C_0805_2012Metric",120.278679,-84.058174,-90.000000,top
"C3","100nF","C_0402_1005Metric",89.605679,-61.914174,0.000000,top
"C4","100nF","C_0402_1005Metric",99.388679,-67.508174,180.000000,top
"C5","100nF","C_0402_1005Metric",89.600679,-67.119174,0.000000,top
"C6","22uF","C_0805_2012Metric",117.581479,-86.808174,0.000000,top
"C7","100nF","C_0402_1005Metric",127.967679,-74.502174,90.000000,top
"C8","1uF","C_0402_1005Metric",109.453679,-83.513174,0.000000,top
"C9","1uF","C_0402_1005Metric",129.553679,-74.477174,-90.000000,top
"C10","1uF","C_0402_1005Metric",109.453679,-80.693174,180.000000,top
"C11","1uF","C_0402_1005Metric",92.468679,-88.288174,0.000000,top
"C12","10uF","C_1210_3225Metric",117.632679,-77.931174,0.000000,top
"C13","100nF","C_0402_1005Metric",98.058679,-62.314174,180.000000,top
"C14","1uF","C_0402_1005Metric",98.059679,-61.392174,0.000000,top
"C15","1uF","C_0402_1005Metric",125.078679,-76.398174,-90.000000,top
"C16","2.2uF","C_0603_1608Metric",121.838679,-68.048174,180.000000,top
"C17","2.2uF","C_0603_1608Metric",113.178679,-68.878174,90.000000,top
"C18","100nF","C_0402_1005Metric",107.348679,-76.728174,90.000000,top
"C19","1uF","C_0402_1005Metric",100.768679,-66.208174,-90.000000,top
"C20","1uF","C_0402_1005Metric",87.658679,-71.168174,180.000000,top
"D1","XL-1010RGBC-WS2812B","XL-1010RGBC-WS2812B",105.798679,-76.678174,0.000000,top
"D2","D_1N5819W","D_SOD-123",117.418679,-75.138174,0.000000,top
"D3","D_1N5819W","D_SOD-123",117.108679,-68.278174,180.000000,top
"D4","D_1N5819W","D_SOD-123",117.108679,-70.588174,0.000000,top
"D5","1N5819W","D_SOD-123",117.118679,-65.978174,0.000000,top
"D6","1N5819W","D_SOD-123",114.090679,-78.837174,90.000000,top
"D7","1N5819W","D_SOD-123",109.548679,-71.018174,180.000000,top
"D8","1N5819W","D_SOD-123",109.548679,-68.698174,180.000000,top
"F1","0.5A","Fuse_0805_2012Metric",131.264679,-74.846174,90.000000,top
"F2","0.5A","Fuse_0805_2012Metric",121.878679,-66.148174,180.000000,top
"F3","0.5A","Fuse_0805_2012Metric",121.878679,-64.248174,0.000000,top
"J1","TYPE-C-31-M-14","USB_C_Receptacle_HRO_TYPE-C-31-M-14",128.058679,-86.168174,0.000000,top
"J2","X0325FT7B2","J_DB25_Female_X0325FT7B2",108.258679,-43.368174,180.000000,top
"J3","J_JST-XH-B3B","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",126.708679,-66.138174,0.000000,top
"J4","J_JST-XH-B3B","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",84.728679,-55.278174,90.000000,top
"J5","J_JST-XH-B3B","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",92.953679,-55.198174,90.000000,top
"J6","J_JST-XH-B2B","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",101.308679,-50.158174,0.000000,top
"J7","J_JST-XH-B2B","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",110.628679,-50.158174,0.000000,top
