"Designator","Qty","MPN","Comment","Manufacturer","Footprint","Datasheet","JLCPCB Part #"
"U8","1","DAC80508MRTE","DAC80508","Texas Instruments","WQFN","https://www.ti.com/lit/ds/symlink/dac80508.pdf","C2679529"
"U7","1","EMIF06-MSD02N16","EMIF06-MSD02N16","STMicroelectronics","Micro QFN 3.5x1.2-16L","https://www.st.com/resource/en/datasheet/emif06-msd02n16.pdf","C5267594"
"U6","1","TLV61048DBV","TLV61048","Texas Instruments","SOT-23-6","https://www.ti.com/lit/ds/symlink/tlv61048.pdf","C2861467"
"U5","1","TPS62160DSG","TPS62160","Texas Instruments","WSON-8 (2x2mm)","https://datasheet.lcsc.com/lcsc/1806070425_Texas-Instruments-TPS62162DSGR_C40256.pdf","C324077"
"U4","1","NCP167BMX330TBG","NCP167BMX330TBG","onsemi","XDFN-4","https://datasheet.lcsc.com/lcsc/2107280040_onsemi-NCP167BMX330TBG_C892227.pdf","C892227"
"U3","1","LM324QT","LM324QT","STMicroelectronics","QFN16 3x3","https://www.lcsc.com/datasheet/lcsc_datasheet_1810010620_STMicroelectronics-LM324QT_C183029.pdf","C183029"
"U2","1","USBLC6-2P6","USBLC6-2P6","STMicroelectronics","SOT666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C15999"
"U1","1","ESP32-S3-MINI-1","ESP32-S3-MINI-1","Espressif Systems","Module","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf","C2913206"
"SW1,SW2","2","PTS810SJG250SMTRLFS","PTS810","C&K","3.2x2.5mm SMD","https://datasheet.lcsc.com/lcsc/1810121629_C-K-PTS810SJG250SMTRLFS_C221895.pdf","C221895"
"R20,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36","11","AC0402FR-07150RL","150R","Yageo","0402","https://eu.mouser.com/datasheet/2/447/PYu-AC_51_RoHS_L_7-1714230.pdf","C226790"
"R19","1","HP03W5F100KT5E","1R","UNI-ROYAL","0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_UNI-ROYAL-Uniroyal-Elec-HP03W5F100KT5E_C2759448.pdf","C2759448"
"R18","1","0402WGF1003TCE","100k","UNI-ROYAL(Uniroyal Elec)","0402","https://datasheet.lcsc.com/szlcsc/1810111814_UNI-ROYAL-Uniroyal-Elec-0402WGF1003TCE_C25741.pdf","C25741"
"R15","1","AC0402FR-07100RL","100R","Yageo","0402","https://eu.mouser.com/datasheet/2/447/PYu-AC_51_RoHS_L_7-1714230.pdf","C144808"
"R14","1","RK73G1ETTP1004F","1M","KOA Speer Elec","0402","https://datasheet.lcsc.com/szlcsc/2004171812_KOA-Speer-Elec-RK73G1ETTP1004F_C516088.pdf","C516088"
"R10,R13,R23,R24","4","RC0402FR-0720KL","20k","YAGEO","0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0720KL_C93942.pdf","C93942"
"R7","1","RC0402FR-078K2L","8.2k","Yageo","0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-078K2L_C137929.pdf","C137929"
"R6","1","RC0402FR-0743KL","43k","Yageo","0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0743KL_C185415.pdf","C185415"
"R4,R5","2","RC0402JR-0727RL","27R","YAGEO","0402","https://datasheet.lcsc.com/szlcsc/1810241322_YAGEO-RC0402JR-0727RL_C137890.pdf","C137890"
"R2,R3","2","AC0402FR-075K1L","5.1k","YAGEO","0402","https://datasheet.lcsc.com/szlcsc/1810241326_YAGEO-AC0402FR-075K1L_C144745.pdf","C144745"
